"Product-Title: iPhone 4/4S Case","Coque iPhone 4/4S"
"Product-Title: Beer Mug","Chope à bière"
"Product-Title: Egg Cup & Toast Cutter","Coquetier et moule à toasts"
"Product-Title: Blanket","Couverture"
"Product-Title: Bed","Lit"
"Product-Title: Chair","Chaise"
"Product-Title: Wrapping Paper","Papier cadeau"
"Product-Title: Coaster Pack","Pack de sous-verres"
"Product-Title: Stress Controller","Anti stress"
"Product-Title: Beer Glass","Verre à bière"
"Product-Title: Shot Glass","Verre à shots"
"Product-Title: Notebook","Carnet de notes"
"Product-Title: Jumpsuit","Combinaison"
"Product-Title: Cup Set","Ensemble de tasses"
"Product-Title: Travel Mug","Mug de voyage"
"Product-Title: Hair Clip","Pince à cheuveux"
"Product-Title: Doormat","Paillasson"
"Product-Title: Figure","Figurine"
"Product-Title: Action Figure","Figurine Articulée"
"Product-Title: Skatedeck","Planche de skate"
"Product-Title: Bandana","Bandana"
"Product-Title: Bolts","Vis"
"Product-Title: Wheels","Roues"
"Product-Title: Bearings","Roulements"
"Product-Title: Truck","Truck"
"Product-Title: Umbrella","Parapluie"
"Product-Title: Soft Toy","Peluche"
"Product-Title: Writing Set","Ensemble d'écriture"
"Product-Title: Breakfast Set","Set de petit déjeuner"
"Product-Title: Fridge Magnet","Aimant à Refrigérateur"
"Product-Title: Card Game","Jeu de cartes"
"Product-Title: Tights","Collants"
"Product-Title: Cushion Cover","Taie d'oreiller"
"Product-Title: Magnet","Aimant"
"Product-Title: Hip Bag","Sac banane"
"Product-Title: Jigsaw Puzzle","Puzzle"
"Product-Title: Lamp","Lampe"
"Product-Title: Bracelet Set","Set de bracelets"
"Product-Title: Bottle Holder","Porte bouteille"
"Product-Title: Board Game","Jeux de société"
"Product-Title: Pool Float","Jeux gonflables"
"Product-Title: Tapestry","Tapisserie"
"Product-Title: Dungarees","Salopettes"
"Product-Title: Tea Cup + Saucer","Tasse à thé + soucoupe"
"Product-Title: Trinket Box","Boîte à bijoux"
"Product-Title: Wall Shelf","Étagères"
"Product-Title: Ring Stand","Support à bagues"
"Product-Title: Air Refresher","Purificaeur d'air"
"Product-Title: Cycling Shorts","Shorts cyclistes"
"Product-Title: Ice Mould","Ice Mould"
"Product-Title: Torch","Torch"
"Product-Title: Alarm Clock","Alarm Clock"
"Product-Title: Mousepad","Mousepad"
"Product-Title: Money Box","Money Box"
"Product-Title: Pen","Pen"
"Product-Title: Pen Topper","Pen Topper"
"Product-Title: Pen & Pen Topper","Pen & Pen Topper"
"Product-Title: Shot Glasses","Shot Glasses"
"Product-Title: Goblet","Goblet"
